Query;Execution Time (ms);Common count
1;465.50703048706055;300
2;280.2999019622803;600
3;207.53097534179688;600
4;154.24203872680664;600
5;365.57888984680176;600
6;295.99690437316895;600
7;261.9442939758301;600
8;197.17097282409668;600
9;245.59593200683594;600
10;261.5640163421631;600
11;211.43388748168945;600
12;308.35986137390137;600
13;311.0377788543701;600
14;227.07700729370117;600
15;205.73115348815918;600
16;230.49378395080566;900
17;381.9699287414551;1500
18;325.4578113555908;2100
19;210.52026748657227;2100
20;371.2019920349121;2100
21;277.0109176635742;2100
22;302.199125289917;2100
23;388.7219429016113;2100
24;292.9208278656006;2100
25;287.2319221496582;2100
26;288.39898109436035;2100
27;286.0119342803955;2100
28;316.4846897125244;2100
29;362.825870513916;2400
30;316.20192527770996;2400
31;138.32902908325195;2400
32;155.11512756347656;2400
33;88.92989158630371;2400
34;186.11717224121094;2700
35;259.56106185913086;2700
36;181.03289604187012;2700
37;146.75188064575195;2700
38;141.93010330200195;2700
39;137.7549171447754;2700
40;116.22405052185059;2700
41;147.1688747406006;2700
42;244.5220947265625;2700
43;135.15400886535645;2700
44;106.24098777770996;2700
45;139.08910751342773;2700
46;144.8841094970703;2700
47;100.60000419616699;2700
48;154.14810180664062;2700
49;215.96503257751465;2700
50;157.52005577087402;2700
51;170.92394828796387;2800
52;259.35888290405273;3700
53;192.74282455444336;4200
54;222.5627899169922;4200
55;205.21283149719238;4200
56;147.9341983795166;4200
57;135.47086715698242;4200
58;112.7619743347168;4200
59;207.08298683166504;4200
60;242.17677116394043;4200
61;221.64392471313477;4500
62;174.15094375610352;4500
63;225.7230281829834;4500
64;282.63401985168457;4500
65;157.49692916870117;4800
66;215.57140350341797;4800
67;127.49791145324707;4800
68;170.4869270324707;4800
69;236.58108711242676;4800
70;182.29293823242188;4800
71;169.30508613586426;4800
72;144.40393447875977;4800
73;166.14890098571777;4800
74;157.67407417297363;4800
75;222.89299964904785;4800
76;145.61200141906738;4800
77;197.94821739196777;4800
78;157.1958065032959;5000
79;156.79621696472168;5700
80;222.3658561706543;6300
81;247.56097793579102;6300
82;155.8818817138672;6300
83;134.75298881530762;6300
84;142.92001724243164;6300
85;140.33102989196777;6300
86;253.66783142089844;6300
87;123.68392944335938;6300
88;130.50317764282227;6300
89;82.3056697845459;6300
90;185.81390380859375;6300
91;203.02700996398926;6600
92;212.4638557434082;6600
93;262.94398307800293;6600
94;189.9571418762207;6600
95;179.7330379486084;6600
96;155.48300743103027;6900
97;209.69820022583008;6900
98;224.75600242614746;6900
99;141.8147087097168;6900
100;168.70498657226562;6900
101;202.46005058288574;6900
102;137.55083084106445;6900
103;264.0857696533203;6900
104;160.06207466125488;6900
105;131.42824172973633;6900
106;152.2848606109619;6900
107;171.93913459777832;6900
108;145.04384994506836;7000
109;320.3158378601074;7700
110;174.4232177734375;8300
111;144.8221206665039;8400
112;172.011137008667;8400
113;152.88186073303223;8400
114;250.01001358032227;8400
115;143.4469223022461;8400
116;149.78885650634766;8400
117;136.44814491271973;8400
118;140.61903953552246;8400
119;175.05884170532227;8400
120;306.5958023071289;8700
121;206.8018913269043;8700
122;205.05809783935547;8700
123;174.75461959838867;8700
124;168.90287399291992;9000
125;243.1497573852539;9000
126;155.9309959411621;9000
127;160.86101531982422;9000
128;209.38420295715332;9000
129;169.01516914367676;9000
130;222.72109985351562;9000
131;166.78500175476074;9000
132;148.5600471496582;9000
133;128.4952163696289;9000
134;99.0900993347168;9000
135;142.92502403259277;9000
136;165.22598266601562;9000
137;215.15798568725586;9000
138;193.23301315307617;9000
139;185.48989295959473;9000
140;147.6278305053711;9000
141;105.19576072692871;9300
142;286.9107723236084;10000
143;261.3699436187744;10500
144;190.21987915039062;10500
145;91.97783470153809;10500
146;184.0522289276123;10500
147;140.08712768554688;10500
148;279.99210357666016;10500
149;226.71818733215332;10500
150;165.22979736328125;10500
151;157.32693672180176;10800
152;203.04203033447266;10800
153;233.70790481567383;10800
154;187.22987174987793;10800
155;184.0810775756836;11100
156;181.51187896728516;11100
157;162.33110427856445;11100
158;294.92807388305664;11100
159;133.79478454589844;11100
160;192.6138401031494;11100
161;149.7671604156494;11100
162;136.22713088989258;11100
163;262.56299018859863;11100
164;175.7969856262207;11100
165;130.97095489501953;11100
166;199.42021369934082;11100
167;181.14304542541504;11100
168;210.94918251037598;11100
169;294.2547798156738;11100
170;166.55206680297852;11300
171;211.7917537689209;11700
172;204.47206497192383;12600
173;216.04490280151367;12600
174;139.91475105285645;12600
175;109.98892784118652;12600
176;80.49798011779785;12600
177;95.47114372253418;12600
178;98.75273704528809;12600
179;107.56587982177734;12600
180;90.21472930908203;12600
181;99.86305236816406;12600
182;132.6122283935547;12600
183;66.40982627868652;12600
184;33.29300880432129;12600
185;168.4737205505371;12600
186;102.10299491882324;12600
187;93.28889846801758;12600
188;101.68290138244629;12600
189;104.54511642456055;12600
190;95.72505950927734;12600
191;106.37807846069336;12600
192;109.09581184387207;12600
193;110.64386367797852;12600
194;88.89007568359375;12600
195;104.4609546661377;12600
196;95.5808162689209;12600
197;89.19286727905273;12600
198;94.22802925109863;12600
199;100.21591186523438;12600
200;119.02284622192383;12600
201;80.96790313720703;12600
202;27.771711349487305;12600
203;147.68695831298828;12600
204;142.46582984924316;12600
