Query,Execution Time (ms),Common count
1,3294.7628498077393,646200
2,1788.2952690124512,647500
3,1765.8140659332275,648100
4,1751.3718605041504,649200
5,1586.2748622894287,650300
6,1778.9580821990967,650800
7,1923.0930805206299,652100
8,1715.0521278381348,652800
9,2041.8758392333984,653700
10,1761.3565921783447,654900
11,1961.9638919830322,655500
12,1725.3198623657227,656600
13,1833.0481052398682,657700
14,1754.3528079986572,658300
15,2017.1737670898438,659600
16,1938.805103302002,660200
17,1982.3009967803955,661200
18,1862.5867366790771,662200
19,1874.708890914917,662900
20,2245.7756996154785,664100
21,1967.7419662475586,665200
22,1793.623685836792,665700
23,2010.7789039611816,667000
24,1762.017011642456,668000
25,1900.7081985473633,668700
26,3100.726842880249,669900
27,2363.0268573760986,670300
28,2086.516857147217,671100
29,2088.045120239258,671900
30,1927.0389080047607,672300
31,1960.1449966430664,673300
32,2036.6981029510498,673500
33,1944.6163177490234,674700
